place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Comisaría Integral del Distrito Salamanca,Instalación accesible municipal,CALLE PEDRO HEREDIA 34,187 - Alejandro González - Alcalá,"Alcala-Ventas ,",163 meters,23
Comisaría Integral del Distrito San Blas-Canillejas,Instalación accesible municipal,CALLE ESTOCOLMO 91,520 - Niza - Plaza de Grecia,"Av/ de Niza, 67 ,",376 meters,23
Comisaría Integral del Distrito Tetuán,Instalación accesible municipal,AVENIDA ASTURIAS 68,296 - Costa Verde,"Calle de la Costa Verde, 25-23 ,",508 meters,23
Comisaría Integral del Distrito Usera,Instalación accesible municipal,CALLE DOCTOR TOLOSA LATOUR 16,388 - Estación tren - Hospital 12 de Octubre,"Calle Doctor Tolosa Latour, 7 ,",661 meters,23
Comisaría Integral del Distrito Vicálvaro,Instalación accesible municipal,PASEO POLIDEPORTIVO 138,473 - Villablanca - Parque Forestal Vicálvaro,"Calle Villa Blanca, 85 ,",260 meters,27
Comisaría Integral del Distrito Villa de Vallecas,Instalación accesible municipal,CALLE REAL DE ARGANDA 64,438 - Biblioteca Pública Luis Martín Santos,"Calle Enrique Garcia Alvarez, 5,",191 meters,27
Comisaría Integral del Distrito Villaverde,Instalación accesible municipal,CARRETERA CARABANCHEL A VILLAVERDE 105 C/V a la calle de la Laguna Rodrigo,412 - Estación de tren de Puente de Alcocer,"Calle San Jenaro, 1,",332 meters,24
"Comisaría de Apoyo y Protección Mujer, Menor y Mayor. Policía Municipal",Instalación accesible municipal,PASEO LA CHOPERA 2 PLANTA BAJA,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",285 meters,23
Comisaría de Educación Vial,Instalación accesible municipal,CALLE LUIS DE HOYOS SAINZ 49,"455 - Luis de Hoyos Sainz,  198","Luis de Hoyos Sainz, 198,",51 meters,23
Comisaría de Gestión de la Diversidad,Instalación accesible municipal,CALLE SACRAMENTO 2,35 - Plaza del Cordón,"Plaza del Cordón nº1,",43 meters,24
Comisaría de Medio Ambiente de Policía Municipal de Madrid,Instalación accesible municipal,CALLE GANADERIA 3,216 - Plaza de Puerta del Ángel,"Plaza Puerta del Ángel, 3 ,",244 meters,27
Comisión de Vigilancia de la Contratación,Instalación accesible municipal,PLAZA VILLA 4,35 - Plaza del Cordón,"Plaza del Cordón nº1,",105 meters,24
Coordinación General de la Alcaldía,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 4,86 - Cibeles,"Paseo del Prado, 1B ,",144 meters,24
Coordinación de la red de viveros de empresas,Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140 PLANTA 1ª,"146 - María Francisca, 3","Calle de María Francisca, 3,",84 meters,19
Crematorio Nuestra Señora de la Almudena,Instalación accesible municipal,AVENIDA DAROCA 96,485 - Francisco Villaespesa - Ledesma,"Calle Francisco Villaespesa, 37 ,",564 meters,23
Crematorio Sur,Instalación accesible municipal,CALLE ILDEFONSO GONZALEZ VALENCIA 2,"395 - Guetaria, 84B","Calle Guetaria, 84B,",734 meters,24
Delegado de Protección de Datos,Instalación accesible municipal,CALLE MONTALBAN 1,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Departamento Jurídico de Control Estructural de la Edificación. Servicio de Control Estructural de la Edificación,Instalación accesible municipal,CALLE RIBERA DEL SENA (DISTRITO BARAJAS) 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento Jurídico de la Edificación,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento Sancionador,Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140 PLANTA BAJA,"146 - María Francisca, 3","Calle de María Francisca, 3,",86 meters,19
Departamento Técnico de Control Estructural de la Edificación. Servicio de Control Estructural de la Edificación,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento Técnico de Inspección de Edificios,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento de Alcantarillado,Instalación accesible municipal,CALLE MONTALBAN 1,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Departamento de Apoyo a la discapacidad,Instalación accesible municipal,PASEO CHOPERA 41 PLANTA Baja,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Departamento de Asuntos Jurídicos y Personal en Centros Docentes,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Departamento de Control Acústico,Instalación accesible municipal,CALLE BUSTAMANTE 16 PLANTA 4ª,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",60 meters,23
Departamento de Control de Vectores,Instalación accesible municipal,CARRETERA BARRIO DE LA FORTUNA 33,342 - Osa de la Vega - Rafael Finat,"Calle Osa de la Vega, 1 ,",1751 meters,23
Departamento de Coordinación y Enseñanzas Artísticas,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Departamento de Depuración y Río Manzanares,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 5 Palacio de Cibeles,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Departamento de Educación Ambiental,Instalación accesible municipal,CALLE BUSTAMANTE 16 PLANTA 4ª E,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",47 meters,23
Departamento de Equipamientos Urbanos,Instalación accesible municipal,CALLE BUSTAMANTE 16 PLANTA 5ª,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",60 meters,23
Departamento de Familia,Instalación accesible municipal,PASEO CHOPERA 41 PLANTA Baja,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
"Departamento de Gestión Económica. Área de Gobierno de Vicealcaldía, Portavoz, Seguridad y Emergencias",Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140 PLANTA 2,"146 - María Francisca, 3","Calle de María Francisca, 3,",86 meters,19
Departamento de Gestión Patrimonial I y II,Instalación accesible municipal,CALLE ALCALA 45 PLANTA 6.ª,20A - Banco de España,"Calle Alcalá nº 48,",123 meters,27
"Departamento de Inspección Central, Aguas de Consumo y Transporte Alimentario",Instalación accesible municipal,CALLE LOS EMIGRANTES 20 PLANTA 4ª,530 - Metro Mar de Cristal,"Calle de los Emigrantes, 15,",82 meters,27
Departamento de Inspección de Mercamadrid,Instalación accesible municipal,carretera M40 salida 20 (SENTIDO SUR-NORTE) o 19A (SENTIDO NORTE-SUR) Mercamadrid 20,315 - Caroli,"Calle de Caroli, 10,",2599 meters,23
Departamento de Juventud,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Departamento de Limpieza de los Espacios Públicos,Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",47 meters,23
Departamento de Prevención del Riesgo social en la Infancia y Adolescencia,Instalación accesible municipal,PASEO CHOPERA 41 PLANTA Baja,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Departamento de Recogida de Residuos,Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",60 meters,23
Departamento de Recursos Hídricos,Instalación accesible municipal,CALLE MONTALBAN 1 PLANTA 5 Palacio de Cibeles,86 - Cibeles,"Paseo del Prado, 1B ,",145 meters,24
Departamento de Recursos. Subdirección General de Régimen Jurídico,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento de Salud Ambiental,Instalación accesible municipal,AVENIDA MEDITERRANEO 62 PLANTA 1º,77 - Plaza del Conde de Casal,"Plaza del Conde de Casal nº 8,",480 meters,18
Departamento de Seguridad Alimentaria,Instalación accesible municipal,AVENIDA MEDITERRANEO 62 PLANTA 2,77 - Plaza del Conde de Casal,"Plaza del Conde de Casal nº 8,",480 meters,18
Departamento de Servicios Veterinarios,Instalación accesible municipal,CARRETERA BARRIO DE LA FORTUNA 33,342 - Osa de la Vega - Rafael Finat,"Calle Osa de la Vega, 1 ,",1751 meters,23
Departamento de Tecnologías del Tráfico,Instalación accesible municipal,CALLE ALBARRACIN 33 PLANTA 3,506 - Albarracín - Julián Camarillo,"Calle Albarracin, sn,",261 meters,24
Departamento de Voluntariado. Atención a Voluntarios y Entidades Sociales.,Instalación accesible municipal,CALLE ALCALA 45,20A - Banco de España,"Calle Alcalá nº 48,",124 meters,27
Departamento de primera ocupación y funcionamiento,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento técnico de Apoyo Unidad Técnica de Licencias Especiales.,Instalación accesible municipal,CALLE RIBERA DEL SENA 21,568 - IFEMA A,"Avenida del Partenón, 6 ,",193 meters,27
Departamento técnico del taxi: Base Municipal Nuestra Señora del Recuerdo,Instalación accesible municipal,CALLE HIEDRA 26,"284 - Avenida de Burgos, 17","Avda. de Burgos, 17 ,",461 meters,23
Depósito de la Grúa. Base de Nuestra Señora del Recuerdo,Instalación accesible municipal,CALLE HIEDRA 26,"284 - Avenida de Burgos, 17","Avda. de Burgos, 17 ,",455 meters,23
"Dirección General de Comercio, Hostelería y Consumo",Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140 PLANTA 1ª,"146 - María Francisca, 3","Calle de María Francisca, 3,",84 meters,19
Dirección General de Conservación de Vías Públicas. Área de Gobierno de Obras y Equipamientos,Instalación accesible municipal,CALLE BARCO 20 PLANTA 3 y 22,17 - Plaza de Carlos Cambronero,"Plaza de Carlos Cambronero nº 2,",216 meters,23
Dirección General de Costes y Gestión de Personal,Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",47 meters,23
Dirección General de Deporte,Instalación accesible municipal,CALLE SAN BERNARDO esquina calle Palma 68,15 - Norte,"Calle norte nº 10,",124 meters,19
Dirección General de Familia e  Infancia. Ayuntamiento de Madrid,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Dirección General de Igualdad y contra la Violencia de Género,Instalación accesible municipal,RONDA TOLEDO 10,45 - Metro Puerta de Toledo,"Puerta de Toledo 1 ,",148 meters,19
Dirección General de Innovación,Instalación accesible municipal,CALLE PRINCIPE DE VERGARA 140,"146 - María Francisca, 3","Calle de María Francisca, 3,",86 meters,19
Dirección General de Mayores y Prevención de la Soledad No Deseada,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Dirección General de Planificación de Recursos Humanos,Instalación accesible municipal,CALLE BUSTAMANTE 16,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",47 meters,23
Dirección General de Sostenibilidad y Control Ambiental,Instalación accesible municipal,CALLE BUSTAMANTE 16 PLANTA 5,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",49 meters,23
Dirección General de la Policía Municipal,Instalación accesible municipal,AVENIDA PRINCIPAL 6,326 - Metro Alto de Extremadura,"Calle Francisco Tejada, 1 ,",593 meters,24
Dirección General del Parque Tecnológico Valdemingómez,Instalación accesible municipal,CALLE BUSTAMANTE 16 PLANTA 2 ALA D,"118 - OFICINA DEL SER, APR Y BICIREGISTRO","Calle Juan Martínez el empeciado (esquina calle Bustamante) ,",47 meters,23
Dispositivo de acogida de emergencia de Campaña contra el Frío Pinar de San José,Instalación accesible municipal,CALLE PINAR DE SAN JOSE 106,342 - Osa de la Vega - Rafael Finat,"Calle Osa de la Vega, 1 ,",1696 meters,23
Dispositivo de acogida de emergencia de Campaña contra el Frío de Villa de Vallecas,Instalación accesible municipal,"CAMINO POZO DEL TIO RAIMUNDO, S/N 1",419 - Estación de tren de El Pozo,"Calle Puerto de Balbarán, 10,",610 meters,27
El Pleno del Ayuntamiento de Madrid,Instalación accesible municipal,PLAZA VILLA 4,35 - Plaza del Cordón,"Plaza del Cordón nº1,",105 meters,24
"Empresa Mixta de Mercados Centrales de Abastecimiento de Madrid, S.A. (MERCAMADRID)",Instalación accesible municipal,AVENIDA MADRID MERCAMADRID 3 B,"403 - Auñón, 16","Calle Auñón, 16,",2202 meters,23
"Empresa Municipal Madrid Destino Cultura Turismo y Negocio, S.A",Instalación accesible municipal,CALLE CONDE DUQUE 9 PLANTA 2 y 11,13 - Conde Duque,"Calle Conde Duque nº 22,",18 meters,23
"Empresa Municipal de Servicios Funerarios y Cementerios de Madrid, S.A.",Instalación accesible municipal,CALLE SALVADOR DE MADARIAGA 11,231 - Derechos Humanos - Verdaguer y García,"Calle Derechos Humanos, 14 ,",165 meters,24
"Empresa Municipal de Transportes de Madrid, S.A. (EMT). Oficina Atención al Cliente",Instalación accesible municipal,CALLE CERRO DE LA PLATA 4,78 - Metro Pacífico,"Calle Cerro de la Plata nº 4,",95 meters,23
"Empresa Municipal de la Vivienda y Suelo de Madrid, S.A. (EMVS)",Instalación accesible municipal,CALLE PALOS DE LA FRONTERA 13,168 - Santa María Cabeza - Batalla del Salado,"Paseo Santa María de la Cabeza frente al 30 ,",236 meters,23
Escenario Puerta del Ángel,Instalación accesible municipal,PASEO EMBARCADERO 3,216 - Plaza de Puerta del Ángel,"Plaza Puerta del Ángel, 3 ,",605 meters,27
Escuela Municipal de Arte Dramático,Instalación accesible municipal,CALLE MEJIA LEQUERICA 21,54 - Metro Tribunal,"Calle Barceló nº 9,",233 meters,19
Escuela de Cerámica de la Moncloa,Instalación accesible municipal,CALLE FRANCISCO Y JACINTO ALCÁNTARA 2,113 - Teleférico Madrid - Estación Rosales,"Paseo del Pintor Rosales frente al nº 38,",414 meters,24
Escuela infantil municipal Altair,Instalación accesible municipal,CALLE JOSE DE CADALSO 43,348 - José de Cadalso - Rafael Finat,"Calle José de cadalso, 62 ,",274 meters,27
Escuela infantil municipal Amanecer,Instalación accesible municipal,CALLE TITANIO 7,468 - Caños de San Pedro - San Cipriano,"Calle Caños de San Pedro, 12,",177 meters,23
Escuela infantil municipal Ana de Austria,Instalación accesible municipal,CALLE ANA DE AUSTRIA 32,"550 - Príncipe Carlos, 54","Calle del Príncipe Carlos, 54 ,",231 meters,23
Escuela infantil municipal Cañaveral,Instalación accesible municipal,CALLE ENRIQUE URQUIJO 56,474 - Estación de tren de Vicálvaro,"Calle San Cipriano, 71 ,",4062 meters,27
Escuela infantil municipal Cielo Azul,Instalación accesible municipal,BULEVAR INDALECIO PRIETO 16,469 - C. Deportivo Mpal Faustina Valladolid,"469 - Ladera de los Almendros, 6,",309 meters,24
Escuela infantil municipal Doña Francisquita,Instalación accesible municipal,CALLE CAMBADOS 1,547 - Rafaela Aparicio - Maruja Mallo,"Calle Rafaela Aparicio, 1 ,",137 meters,27
Escuela infantil municipal El Alba,Instalación accesible municipal,CALLE TOLEDO 181,169 - Glorieta de Pirámides,"Calle Toledo nº 181,",43 meters,24
Escuela infantil municipal El Barberillo de Lavapiés,Instalación accesible municipal,CALLE GRANITO 32,268 - Metro Arganzuela-Planetario,"Calle del Cobre, 6 ,",134 meters,23
Escuela infantil municipal El Bosque,Instalación accesible municipal,CALLE DELICIAS 32,168 - Santa María Cabeza - Batalla del Salado,"Paseo Santa María de la Cabeza frente al 30 ,",54 meters,23
Escuela infantil municipal El Duende,Instalación accesible municipal,CALLE PALMA 36,59 - Plaza de Juan Pujol,"Calle Espíritu Santo nº 30,",150 meters,19
Escuela infantil municipal El Fresno,Instalación accesible municipal,CALLE MARIA CASARES 15,592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",208 meters,27
Escuela infantil municipal El Manantial,Instalación accesible municipal,CALLE CARLOS FUENTES 2,324 - Metro Lucero,"Calle de las Higueras, 49,",279 meters,23
Escuela infantil municipal Elena Fortún,Instalación accesible municipal,AVENIDA MONASTERIO DE SILOS 57,584 - Metro Montecarmelo,"Avenida Monasterio de Silos, 63A,",122 meters,24
Escuela infantil municipal Escuelas de San Antón,Instalación accesible municipal,CALLE FARMACIA 13,6 - Colegio Arquitectos,"Calle Hortaleza nº 63,",65 meters,19
Escuela infantil municipal Fernando el Católico,Instalación accesible municipal,CALLE FERNANDO EL CATOLICO 16,127 - Mercado Municipal de Vallehermoso,"Calle Fernando el Católico nº 19,",149 meters,27
Escuela infantil municipal Gigantes y Cabezudos,Instalación accesible municipal,CALLE RAFAEL BERGAMIN 28,528 - Albelda - Torrelaguna,"Calle Albelda, 6,",332 meters,24
Escuela infantil municipal La Alegría de la Huerta,Instalación accesible municipal,CALLE HELSINKI 2,521 - Metro Las Rosas,"Calle Ginebra (esquina con Suecia),",256 meters,24
Escuela infantil municipal La Ardilla,Instalación accesible municipal,CALLE PRINCIPE CARLOS (C/V PINTOR IGNACIO ZULOAGA) 1,549 - Francisco Pi y Maragall,"Avenida Francisco Pi y Margall, 29 ,",198 meters,19
Escuela infantil municipal La Bruja Avería - Lolo Rico,Instalación accesible municipal,CALLE RODAS 20,44 - Plaza de Nelson Mandela,"Plaza Nelson Mandela, 44 ,",374 meters,19
Escuela infantil municipal La Caracola,Instalación accesible municipal,CALLE BELORADO 1,583 - Ángel Múgica - Marcos de Orueta,"Calle de Angel Mugica, 3,",499 meters,24
Escuela infantil municipal La Cornisa,Instalación accesible municipal,CALLE CRISTO DE LA VICTORIA 23,389 - Julio Merino - Pilarica,"Calle Julio Merino, 5 ,",322 meters,23
Escuela infantil municipal La Corte de Faraón,Instalación accesible municipal,CALLE CHANTADA 41,599 - Instalación Deportiva La Cabrera,"Calle La Cabrera, sn,",453 meters,27
Escuela infantil municipal La Gran Vía,Instalación accesible municipal,CALLE SILVANO 99,535 - Metro Canillas,"Calle Ramón Power, 2 ,",129 meters,27
Escuela infantil municipal La Luna,Instalación accesible municipal,CALLE BENIMAMET 109,408 - Metro San Cristóbal,"Calle de Moncada, 102 ,",883 meters,23
Escuela infantil municipal La Melonera,Instalación accesible municipal,CALLE EROS 2,"269 - Ariel, 7 - Parque Enrique Tierno Galván","Calle Ariel, 11 ,",160 meters,24
Escuela infantil municipal La Oliva,Instalación accesible municipal,CALLE GAINZA 46,"395 - Guetaria, 84B","Calle Guetaria, 84B,",519 meters,24
Escuela infantil municipal La Patria Chica,Instalación accesible municipal,CALLE PATRIMONIO DE LA HUMANIDAD 31,373 - Metro La Peseta,"Calle Salvador Allende, 28 ,",587 meters,23
Escuela infantil municipal La Rosa del Azafrán,Instalación accesible municipal,CALLE CUEVA DE MONTESINOS 2,588 - Campo Calatrava - Rda Ingenioso Hidalgo,"Av. del Campo de Calatrava, 17,",314 meters,27
Escuela infantil municipal La Verbena de la Paloma,Instalación accesible municipal,CALLE FUERTE DE NAVIDAD 17,348 - José de Cadalso - Rafael Finat,"Calle José de cadalso, 62 ,",483 meters,27
Escuela infantil municipal La del Manojo de Rosas,Instalación accesible municipal,CALLE RAVENA 12,511 - Aquitania 31,"Calle Aquitania, 31,",166 meters,27
Escuela infantil municipal La del Soto del Parral,Instalación accesible municipal,CALLE TROMPAS 19,"371 - Joaquin Turina, 49","Calle Joaquin Turina, 49,",711 meters,27
Escuela infantil municipal Las Amapolas,Instalación accesible municipal,CALLE OBOLO 14,367 - Metro San Francisco,"Calle Albox, 35 ,",514 meters,23
Escuela infantil municipal Las Azaleas,Instalación accesible municipal,CALLE PORTUGALETE 6,492 - Metro La Almudena,"Fernando Gabriel, 2 ,",497 meters,24
Escuela infantil municipal Las Golondrinas,Instalación accesible municipal,CALLE JOSEFA VALCARCEL 189,508 - Metro Canillejas,"Intercambiador de Canillejas,",245 meters,24
Escuela infantil municipal Las Leandras,Instalación accesible municipal,CALLE DEYANIRA 2,"500 - Aracne, 17","Calle Aracne, 17,",549 meters,27
Escuela infantil municipal Las Mercedes,Instalación accesible municipal,CALLE SAMANIEGO 22,"500 - Aracne, 17","Calle Aracne, 17,",1076 meters,27
Escuela infantil municipal Las Nubes,Instalación accesible municipal,CALLE ANTONIO NEBRIJA 7,119 - Méndez Álvaro,"Calle Méndez Álvaro nº 11,",411 meters,23
Escuela infantil municipal Las Pléyades,Instalación accesible municipal,AVENIDA SECUNDINO ZUAZO 34,262 - María de las Mercedes de Borbón B,"Calle María de las Mercedes de Borbón, 214,",362 meters,23
Escuela infantil municipal Los Juncos,Instalación accesible municipal,PLAZA JUVENTUD 7,466 - Villablanca - Vereda del Pinar,"Calle Villablanca 7,",231 meters,23
Escuela infantil municipal Luis Bello,Instalación accesible municipal,CALLE JUAN BAUTISTA DE TOLEDO 5,196 - Metro Prosperidad,"Calle Suero de Quiñones, 4 ,",164 meters,27
Escuela infantil municipal Molinos de Viento,Instalación accesible municipal,CAMINO FUENTE DE ARRIBA 4,462 - Gallegos - Lavadero Viejo,"Calle Gallegos 27,",125 meters,27
Escuela infantil municipal Osa Menor,Instalación accesible municipal,CALLE MEJIA LEQUERICA 21,54 - Metro Tribunal,"Calle Barceló nº 9,",233 meters,19
Escuela infantil municipal Parque de Ingenieros,Instalación accesible municipal,CALLE LA TABERNERA DEL PUERTO 26,"409 - Eduardo Barreiros, 114","Calle Eduardo Barreiros, 114,",70 meters,23
Escuela infantil municipal Pensamiento,Instalación accesible municipal,CALLE MIRASIERRA 27,384 - Metro Usera,"Calle Amparo Usera, 46 ,",362 meters,23
Escuela infantil municipal Poeta Gloria Fuertes,Instalación accesible municipal,CALLE EUNATE 6,601 - Estación de tren de Fuencarral,"Calle Antonio de Cabezón, s/n (Estacion Cercanías Fuencarral),",651 meters,23
Escuela infantil municipal Tarabilla,Instalación accesible municipal,CALLE GANDHI 14,492 - Metro La Almudena,"Fernando Gabriel, 2 ,",524 meters,24
Escuela infantil municipal VeoVeo,Instalación accesible municipal,CALLE CONDESA DE VENADITO 3,214 - Condesa de Venadito - Albacete,"Calle Condesa de Venadito, 2 ,",201 meters,24
Escuela municipal de música  El Capricho (Barajas),Instalación accesible municipal,CALLE DE LA RAMBLA 31,558 - Biblioteca Pública Mpal. Gloria Fuertes,"CalleBahía de Cádiz (cruce con Avenida Logroño) ,",530 meters,23
Escuela municipal de música Almudena Cano (Arganzuela),Instalación accesible municipal,PASAJE TORTOSA 4,51 - Ronda de Atocha,"Ronda de Atocha (esquina con Plaza del Emperador Carlos V),",280 meters,27
Escuela municipal de música Antonio Machado (San Blas-Canillejas),Instalación accesible municipal,CALLE SAN ROMAN DEL VALLE 8,501 - Metro Alsacia,"Calle Hermanos García Noblejas, 137 ,",323 meters,23
Escuela municipal de música Antón García Abril (Villaverde),Instalación accesible municipal,CALLE DOCTOR MARTIN AREVALO 2,413 - Doctor Martín Arévalo,"Calle Doctor Martín Arévalo enfrente del N°16 ,",139 meters,24
Escuela municipal de música Carmelo Alonso Bernaola (Fuencarral-El Pardo),Instalación accesible municipal,AVENIDA SOTO PALACIOS 7,582 - Isla Graciosa - Isla de Java,"Calle de la Isla Graciosa, 2,",594 meters,24
Escuela municipal de música Isaac Albéniz (Carabanchel),Instalación accesible municipal,CALLE LONJA DE LA SEDA 4,381 - Alfredo Aleix - Mercedes Rodríguez,"Calle Alfredo Aleix, 9 ,",360 meters,24
Escuela municipal de música Maestro Barbieri (Usera),Instalación accesible municipal,CALLE CESTONA 3,"386 - Avenida de los Poblados, 130","Avenida de los Poblados, 130,",115 meters,23
Escuela municipal de música Manuel Vázquez Montalbán (Tetuán),Instalación accesible municipal,CALLE FRANCOS RODRIGUEZ 67,239 - Francos Rodríguez - José Calvo,"Calle de Francos Rodríguez, 62 ,",322 meters,23
Escuela municipal de música María Rodrigo (Chamartín),Instalación accesible municipal,CALLE MANTUANO 51,147 - Doctor Arce 45,"Avenida del Doctor Arce nº 45,",355 meters,23
Escuela municipal de música Villa de Vallecas,Instalación accesible municipal,CALLE AGUSTIN GARCIA MALLA 4,438 - Biblioteca Pública Luis Martín Santos,"Calle Enrique Garcia Alvarez, 5,",340 meters,27
Escuela municipal de música de Vicálvaro,Instalación accesible municipal,BULEVAR INDALECIO PRIETO 16,469 - C. Deportivo Mpal Faustina Valladolid,"469 - Ladera de los Almendros, 6,",290 meters,24
Escuela municipal de música y danza Plácido Domingo (Retiro),Instalación accesible municipal,CALLE TELLEZ 31,178 - Junta Municipal Distrito de Retiro,"Calle León Gil de Palacio nº 1,",239 meters,24
Escuelas Infantiles Municipales,Instalación accesible municipal,PASEO CHOPERA 41,267 - Paseo de la Chopera - Fernando Poo,"Paseo de la Chopera, 31 ,Comunidad de Madrid España",197 meters,23
Espacio Abierto Quinta de los Molinos,Instalación accesible municipal,CALLE JUAN IGNACIO LUCA DE TENA 20,516 - Juan Ignacio Luca Tena - Quinta Molinos,"Calle Juan Ignacio Luca de Tena, 13 ,",205 meters,27
"Espacio Cultural Núñez de Balboa, 40 (Salamanca)",Instalación accesible municipal,CALLE NUÑEZ DE BALBOA 40,87 - Ayala - Velázquez,"Calle Ayala nº 46,",155 meters,23
Espacio Cultural Serrería Belga,Instalación accesible municipal,CALLE ALAMEDA 15,67 - CaixaForum Madrid,"Calle Almadén 26,",74 meters,23
Espacio MercamadridLab,Instalación accesible municipal,AVENIDA MADRID MERCAMADRID 3 B Instalado en el seno del Mercado Central de Pescados.  Ubicado en MERCAMADRID (Mercados Centrales de Abastecimiento de Madrid).,"403 - Auñón, 16","Calle Auñón, 16,",2202 meters,23
Espacio de Igualdad Ana Orantes. Barajas,Instalación accesible municipal,CALLE PLAYA DE SAN JUAN 6,560 - Playa de Zarauz - Playa de la Caleta,"Calle playa de Zarauz (esquina con Playa de Caleta) ,",205 meters,23
Espacio de Igualdad Berta Cáceres. Usera,Instalación accesible municipal,CALLE GRAN AVENIDA 14 bloque 422,"396 - Gran Avenida, 27","Gran Avenida, 27,",322 meters,24
Espacio de Igualdad Carme Chacón. Hortaleza,Instalación accesible municipal,CALLE MATAPOZUELOS 2,523 - Carretera de Canillas,"Calle carretera de canillas, 17 ,",208 meters,23
Espacio de Igualdad Clara Campoamor. Villaverde,Instalación accesible municipal,CALLE MARIA MARTINEZ OVIOL 12,414 - Metro Villaverde Bajo-Cruce,"Calle Santa Petronila, 7 ,",75 meters,24
Espacio de Igualdad Elena Arnedo Soriano. Retiro,Instalación accesible municipal,CALLE ARREGUI Y ARUEJ 31,84 - Biblioteca Pública Elena Fortún,"Calle Doctor Esquerdo nº 191,",511 meters,23
Espacio de Igualdad Emilia Pardo Bazán. Ciudad Lineal,Instalación accesible municipal,AVENIDA BADAJOZ 60,214 - Condesa de Venadito - Albacete,"Calle Condesa de Venadito, 2 ,",415 meters,24
Espacio de Igualdad Gloria Fuertes. Vicálvaro,Instalación accesible municipal,AVENIDA REAL 14,470 - Avenida Real - Galeote,"Avenida Real, 3,",129 meters,18
