place_of_interest,type_of_place,place_address,nearest_bicimad_station,station_location,distance,total_bases
Centro de Día Municipal 'Ciudad Pegaso Físicos',Instalación accesible municipal,AVENIDA QUINTA 5,507 - Seis - Sexta,"Calle Seis (esquina con Avenida Quinta),",151 meters,24
Centro de Día Municipal 'Concepción Arenal',Instalación accesible municipal,CALLE JAVIER DEL QUINTO 12,530 - Metro Mar de Cristal,"Calle de los Emigrantes, 15,",565 meters,27
Centro de Día Municipal 'El Pardo Cognitivo',Instalación accesible municipal,CALLE GENERAL URRUTIA 1,592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",6218 meters,27
Centro de Día Municipal 'El Pardo Físico',Instalación accesible municipal,CALLE GENERAL URRUTIA 1,592 - Estación de tren de Pitis,"Calle de Gloria Fuertes, 180,",6218 meters,27
Centro de Día Municipal 'Entrevías',Instalación accesible municipal,CALLE YUSTE 8,423 - Estación de tren Asamblea de Madrid,"Avenida de Entrevias, 56,",731 meters,24
Centro de Día Municipal 'Escuelas de San Antón',Instalación accesible municipal,CALLE SANTA BRIGIDA 12,6 - Colegio Arquitectos,"Calle Hortaleza nº 63,",93 meters,19
Centro de Día Municipal 'Esfinge Cognitivo',Instalación accesible municipal,CALLE ESFINGE 35 PLANTA baja,499 - Biblioteca Pública Municipal Canillejas,"Calle Alcala, 590,",218 meters,23
Centro de Día Municipal 'Esfinge Físico',Instalación accesible municipal,CALLE ESFINGE 35 PLANTA baja,499 - Biblioteca Pública Municipal Canillejas,"Calle Alcala, 590,",218 meters,23
Centro de Día Municipal 'Francisco de Goya',Instalación accesible municipal,CALLE ALFREDO ALEIX 3,381 - Alfredo Aleix - Mercedes Rodríguez,"Calle Alfredo Aleix, 9 ,",162 meters,24
Centro de Día Municipal 'Fray Luis de León',Instalación accesible municipal,CALLE MANRESA 1,582 - Isla Graciosa - Isla de Java,"Calle de la Isla Graciosa, 2,",498 meters,24
Centro de Día Municipal 'Fátima de Madrid Cognitivo',Instalación accesible municipal,CALLE SIERRA DE LOS FILABRES 15,179 - Metro Puente de Vallecas,"Avenida de la Albufera nº 6,",278 meters,24
Centro de Día Municipal 'Fátima de Madrid Físico',Instalación accesible municipal,CALLE SIERRA DE LOS FILABRES 15,179 - Metro Puente de Vallecas,"Avenida de la Albufera nº 6,",278 meters,24
Centro de Día Municipal 'Gallur',Instalación accesible municipal,CALLE GALLUR 417,329 - Metro Laguna,"Calle Alhambra, 56 ,",438 meters,23
Centro de Día Municipal 'Gertrudis de la Fuente Cognitivo',Instalación accesible municipal,CALLE GERTRUDIS DE LA FUENTE 2,329 - Metro Laguna,"Calle Alhambra, 56 ,",317 meters,23
Centro de Día Municipal 'Gertrudis de la Fuente Físico',Instalación accesible municipal,CALLE GERTRUDIS DE LA FUENTE 2,329 - Metro Laguna,"Calle Alhambra, 56 ,",317 meters,23
Centro de Día Municipal 'Isaac Rabin',Instalación accesible municipal,AVENIDA MORATALAZ 134,219 - Camino de los Vinateros B,"Camino de los Vinateros, 108 ,",264 meters,18
Centro de Día Municipal 'Jazmín',Instalación accesible municipal,CALLE JAZMÍN 48 PLANTA BAJA,494 - Metro Pinar de Chamartín,"Arturo Soria, 332,",170 meters,23
Centro de Día Municipal 'José Manuel Bringas',Instalación accesible municipal,CALLE CAMINO VIEJO DE VILLAVERDE 26,"396 - Gran Avenida, 27","Gran Avenida, 27,",384 meters,24
Centro de Día Municipal 'José Villareal',Instalación accesible municipal,CALLE GUILLERMO DE OSMA 14,175 - Jaime el Conquistador - Divino Vallés,"Calle Jaime el Conquistador nº 30,",248 meters,19
Centro de Día Municipal 'Juan Pablo II',Instalación accesible municipal,CALLE PALMITO 1 PLANTA BAJA C/V A MADRE DE DIOS,254 - Plaza del Perú,"Avenida De Pio XII, 3 ,",360 meters,23
Centro de Día Municipal 'La Guindalera',Instalación accesible municipal,CALLE PILAR DE ZARAGOZA 28,243 - Cartagena,"Calle Cartagena, 37,",250 meters,23
Centro de Día Municipal 'La Magdalena',Instalación accesible municipal,CALLE MONSEÑOR OSCAR ROMERO 75,360 - Ntra. Sra. Fátima - Ntra. Sra. de Luz,"Avenida Nuestra Señora de Fatima, 34,",369 meters,23
Centro de Día Municipal 'La Remonta',Instalación accesible municipal,PLAZA REMONTA 12,207 - Plaza de la Remonta,"Calle Azucenas, 2 ,",67 meters,19
Centro de Día Municipal 'Leñeros Cognitivo',Instalación accesible municipal,CALLE LEÑEROS 25 PLANTA 2ª y 3ª,237 - Acueducto de Amaniel,"Calle Francisco Balseiro, 2 ,Comunidad de Madrid España",362 meters,24
Centro de Día Municipal 'Leñeros Físico',Instalación accesible municipal,CALLE LEÑEROS 25 PLANTA 2ª y 3ª,237 - Acueducto de Amaniel,"Calle Francisco Balseiro, 2 ,Comunidad de Madrid España",362 meters,24
Centro de Día Municipal 'Loyola de Palacio',Instalación accesible municipal,CALLE SILVINA 10 PLANTA BAJA,"394 - Periana, 24","Calle Periana, 24 ,",466 meters,24
Centro de Día Municipal 'Luis Peidró',Instalación accesible municipal,CALLE LUIS PEIDRO 2,179 - Metro Puente de Vallecas,"Avenida de la Albufera nº 6,",493 meters,24
Centro de Día Municipal 'Margarita Retuerto',Instalación accesible municipal,CALLE FRANCISCO ALTIMIRAS 4,193 - Plaza de las Ventas,"Avenida De los Toreros, 49 ,",314 meters,27
Centro de Día Municipal 'María Teresa León',Instalación accesible municipal,CALLE RAFAEL CALVO 8,125 - Fdez. de la Hoz - Gral. Martínez Campos,"Calle Fernández de la Hoz nº 29,",340 meters,27
Centro de Día Municipal 'Miguel Delibes Cognitivo',Instalación accesible municipal,AVENIDA FELICIDAD 24,398 - Orovilla - Felicidad,"Avenida de Orovilla, 53,",83 meters,27
Centro de Día Municipal 'Miguel Delibes Físico',Instalación accesible municipal,AVENIDA FELICIDAD 24,398 - Orovilla - Felicidad,"Avenida de Orovilla, 53,",83 meters,27
Centro de Día Municipal 'Mora de Rubielos',Instalación accesible municipal,PLAZA VILLA DE CANILLEJAS 4,499 - Biblioteca Pública Municipal Canillejas,"Calle Alcala, 590,",240 meters,23
Centro de Día Municipal 'Moratalaz',Instalación accesible municipal,CALLE ARROYO BELINCOSO 13 PLANTA 3ª,458 - Metro Vinateros,"Calle del Arroyo Belincoso, 26,",53 meters,24
